name,salary_from,salary_to,salary_currency,area_name,published_at
Ведущий программист 1С,190000,,RUR,Владивосток,2022-12-27T05:11:02+0300
Программист 1С,150000,,RUR,Владивосток,2022-12-27T05:11:01+0300
"Оператор станков с ЧПУ 3,4 разряда (Токарная группа)",33000,42000,RUR,Омск,2022-12-27T05:46:51+0300
Мастер по ремонту оборудования,45000,50000,RUR,Тюмень,2022-12-27T05:40:58+0300
Механик автомобильной колонны,50000,,RUR,Оренбург,2022-12-27T06:45:07+0300
Механик автомобильной колонны,60000,,RUR,Тольятти,2022-12-27T06:47:46+0300
Инженер-электроник,75000,,RUR,Якутск,2022-12-27T06:50:05+0300
Системный администратор / Help Desk / IT специалист,200000,250000,KZT,Алматы,2022-12-27T06:11:29+0300
Системный администратор,20000,25000,RUR,Салават,2022-12-27T06:42:18+0300
Системный администратор,40000,,RUR,Тверь,2022-12-27T06:55:58+0300
Менеджер по обработке заказов,30000,,RUR,Барнаул,2022-12-27T06:08:54+0300
Выездной инженер технической поддержки,40000,,RUR,Краснодар,2022-12-27T06:27:55+0300
Системный администратор,22000,28000,RUR,Челябинск,2022-12-27T06:20:36+0300
Инженер по обслуживанию и ремонту ПК и оргтехники,30000,,RUR,Кызыл,2022-12-27T06:24:37+0300
Механик по буровым горным работам,130000,,RUR,Кемерово,2022-12-27T06:59:54+0300
Инженер,160000,,KZT,Караганда,2022-12-27T06:53:14+0300
Разработчик React native,300000,600000,KZT,Алматы,2022-12-27T06:53:57+0300
Специалист сервисного центра,28000,35000,RUR,Минусинск,2022-12-27T06:59:11+0300
Дизайнер,,75000,RUR,Новосибирск,2022-12-27T06:25:06+0300
Ведущий системный администратор,100000,,RUR,Екатеринбург,2022-12-27T06:11:07+0300
Начальник отдела развития программного обеспечения,140000,,RUR,Екатеринбург,2022-12-27T06:12:38+0300
Дизайнер,50000,,RUR,Новосибирск,2022-12-27T06:32:23+0300
Руководитель группы внедрения 1С (IT-компания),,300000,RUR,Владивосток,2022-12-27T06:15:10+0300
Техник (Отдел обеспечения информатизации),25000,,RUR,Екатеринбург,2022-12-27T06:30:07+0300
Слесарь механосборочных работ,,150000,RUR,Тюмень,2022-12-27T06:37:24+0300
Руководитель проектов,150000,,RUR,Новосибирск,2022-12-27T06:42:27+0300
Оператор на станок (токарь),180000,200000,KZT,Алматы,2022-12-27T06:53:54+0300
Дежурный журналист / новостник,15000,15000,RUR,Кемерово,2022-12-27T06:39:32+0300
Программист C# (Middle),100000,,RUR,Москва,2022-12-27T06:52:36+0300
Инженер-механик,100000,120000,RUR,Астрахань,2022-12-27T06:15:03+0300
Оператор станка с ЧПУ (3D резка пенопласта),40000,,RUR,Пермь,2022-12-27T06:11:12+0300
Инженер технической поддержки (сервисный инженер),220000,317000,KZT,Алматы,2022-12-27T06:41:57+0300
Программист 1С,50000,80000,RUR,Красноярск,2022-12-27T06:23:26+0300
